Date,Open_T0,High_T0,Low_T0,Close_T0,AdjClose_T0,IncClose_T10,Increase,Volume_T0,Day,Month,Week,Open_S1,High_S1,Low_S1,Close_S1,AdjClose_S1,Volume_S1,Open_S2,High_S2,Low_S2,Close_S2,AdjClose_S2,Volume_S2,Open_S3,High_S3,Low_S3,Close_S3,AdjClose_S3,Volume_S3,Open_C1,High_C1,Low_C1,Close_C1,AdjClose_C1,Volume_C1,Open_C2,High_C2,Low_C2,Close_C2,AdjClose_C2,Volume_C2,Open_C3,High_C3,Low_C3,Close_C3,AdjClose_C3,Volume_C3
2017-01-16,423.252991,437.78299,422.300995,436.782013,410.516998,1.02710854,1,7007131,Mon,1,3,517.200012,529.200012,517.200012,526.549988,526.549988,473428,358.399994,364.600006,357.049988,362.850006,356.25589,577654,229.087006,229.880005,226.378006,228.337997,202.092285,45545,189.649994,192.5,186.75,189.350006,177.746231,3993046,78.5,81.800003,77.099998,78.900002,78.900002,9944179,57.549999,59.75,57,59,58.07378,9617801
2017-01-17,437.354004,437.877991,429.588989,432.781006,406.756561,0.9908398082,0,3508543,Tue,1,3,527.049988,530.650024,521,523.25,523.25,398811,362.850006,364.5,358.299988,359.950012,353.408569,1393756,229.130997,232.039001,228.669006,229.483994,203.106552,72361,191.899994,192.100006,185.449997,186.699997,175.258636,4433742,79,79.849998,77.199997,77.5,77.5,5546995,59.75,60.25,58.450001,59.349998,58.418285,9488915
2017-01-18,433.256989,447.786011,432.781006,446.213989,419.381775,1.031038754,1,9569205,Wed,1,3,524.900024,529.599976,521.5,523.150024,523.150024,1689922,360.299988,370.649994,359.049988,367,360.330444,865079,229.968994,236.311996,229.968994,233.117996,206.322861,189487,187.050003,192.5,187.050003,191.100006,179.388992,5651544,77.949997,81.800003,77.849998,80.199997,80.199997,15330406,59.599998,60.549999,59.25,59.599998,58.66436,6409647
2017-01-19,446.548004,446.643005,440.497986,445.071014,418.307556,0.9974385048,0,3615972,Thu,1,3,523.150024,535,523.150024,530.700012,530.700012,446639,365.100006,374.899994,365.100006,372.700012,365.92688,1091633,233.052002,234.815002,231.289993,232.214996,205.523651,86085,191,193.949997,189.800003,192.649994,180.843994,5325171,80.25,80.699997,79.199997,80,80,4958019,59.549999,59.900002,59.200001,59.5,58.565933,4074039
2017-01-20,443.975006,445.690002,431.209015,433.019012,406.980255,0.9729211707,0,5171756,Fri,1,3,529,529.200012,521.75,523.150024,523.150024,169627,371,371,358.25,360.700012,354.144958,829787,232.171005,233.580994,225.563004,225.959,199.986725,95283,191.949997,193.5,184.600006,185.649994,174.272949,5221394,79.199997,80.599998,76.300003,77.150002,77.150002,7578833,59.549999,59.700001,57.5,58.150002,57.237125,4503618
2017-01-23,429.588989,442.070007,429.303009,439.973999,413.517029,1.01606162,1,4565769,Mon,1,4,522,534.549988,522,532.150024,532.150024,263311,356.899994,364.950012,356.899994,363.950012,357.335876,768682,226.841003,228.052002,224.153,225.871002,199.908859,77491,186.399994,194.800003,186,194.149994,182.252075,5915206,77.349998,79.400002,77.199997,78.900002,78.900002,6616751,58.200001,61.799999,58.049999,61.349998,60.38689,8109530
2017-01-24,440.164001,444.451996,436.877014,442.308014,415.710693,1.005304893,1,3916916,Tue,1,4,533,542.849976,532.599976,541.400024,541.400024,449551,369.5,369.899994,361.799988,364.350006,357.728638,883274,226.509995,230.695007,225.276993,228.955002,202.638367,120944,194.550003,195.699997,192.149994,193.949997,182.064331,3567556,79,81.5,78.949997,81.050003,81.050003,8334067,61.900002,62.200001,61.049999,61.849998,60.87904,6758686
2017-01-25,444.928009,454.21701,444.071014,447.309998,420.411896,1.011308825,1,6620477,Wed,1,4,542.099976,550,541.700012,548,548,245448,366,378.450012,361.75,372.149994,365.386841,2920137,229.968994,240.100998,229.307999,238.184998,210.807449,202489,195.199997,199.699997,193.149994,196.149994,184.129501,8514459,81.699997,82.699997,80.099998,82.199997,82.199997,11146331,62,62.900002,61.650002,62.049999,61.075901,7748356
2017-01-27,447.643005,451.407013,441.450989,447.118988,420.232391,0.9995729807,0,5224334,Mon,1,4,552.450012,553,539.900024,544.349976,544.349976,575424,372,375.649994,366.549988,372.799988,366.024994,386491,236.576996,241.203003,234.593994,239.132004,211.645599,192994,196.350006,199,193.149994,195.350006,183.37854,3724559,82.5,83.900002,75.400002,79.300003,79.300003,22846929,62.549999,65.300003,61.400002,63.700001,62.700001,10447495
2017-01-30,446.356995,446.356995,438.402008,440.212006,413.740723,0.9845522508,0,3487584,Tue,1,5,542,543.200012,530.849976,532.5,532.5,182094,370,374,368.100006,371.450012,364.699554,361868,237.897995,240.608002,236.423004,238.514999,211.099518,65025,195,199,193.149994,196.5,184.458069,3886010,79.400002,83.599998,79.050003,81.699997,81.699997,14872645,63,65.150002,62.700001,64.099998,63.093716,6488512
2017-01-31,438.449005,449.119995,438.354004,441.165009,414.636414,1.002164873,1,4769178,Wed,1,5,531.5,531.5,518,523.599976,523.599976,285965,370.899994,370.899994,359.350006,362.049988,355.470367,788682,238.074997,241.951996,236.554993,239.330002,211.820847,101361,197.100006,201.399994,195,198.149994,186.006927,9791708,81,82.400002,79.699997,80,80,7810228,64.099998,65.199997,63.400002,63.549999,62.552353,5667605
2017-02-01,442.117004,453.407013,435.544006,452.169006,424.978699,1.024943041,1,5849062,Thu,2,5,525.549988,544.799988,523,541.700012,541.700012,308726,363.75,372.25,359,369.950012,363.226807,931350,241.554993,244.727005,237.722,244.352997,216.266479,145812,199.5,199.649994,191.100006,197.300003,185.20903,7991260,80.199997,84.199997,78.550003,83.400002,83.400002,13431034,63.599998,66.300003,63.5,65.699997,64.668602,5943036
